team_id,name,team_code,short_name,league,division,venue,league_id,division_id
133,Athletics,ATH,Athletics,,American League West,Sutter Health Park,103,200
134,Pittsburgh Pirates,PIT,Pittsburgh,,National League Central,PNC Park,104,205
135,San Diego Padres,SD,San Diego,,National League West,Petco Park,104,203
136,Seattle Mariners,SEA,Seattle,,American League West,T-Mobile Park,103,200
137,San Francisco Giants,SF,San Francisco,,National League West,Oracle Park,104,203
138,St. Louis Cardinals,STL,St. Louis,,National League Central,Busch Stadium,104,205
139,Tampa Bay Rays,TB,Tampa Bay,,American League East,Tropicana Field,103,201
140,Texas Rangers,TEX,Texas,,American League West,Globe Life Field,103,200
141,Toronto Blue Jays,TOR,Toronto,,American League East,Rogers Centre,103,201
142,Minnesota Twins,MIN,Minnesota,,American League Central,Target Field,103,202
143,Philadelphia Phillies,PHI,Philadelphia,,National League East,Citizens Bank Park,104,204
144,Atlanta Braves,ATL,Atlanta,,National League East,Truist Park,104,204
145,Chicago White Sox,CWS,Chi White Sox,,American League Central,Rate Field,103,202
146,Miami Marlins,MIA,Miami,,National League East,loanDepot park,104,204
147,New York Yankees,NYY,NY Yankees,,American League East,Yankee Stadium,103,201
158,Milwaukee Brewers,MIL,Milwaukee,,National League Central,American Family Field,104,205
108,Los Angeles Angels,LAA,LA Angels,,American League West,Angel Stadium,103,200
109,Arizona Diamondbacks,AZ,Arizona,,National League West,Chase Field,104,203
110,Baltimore Orioles,BAL,Baltimore,,American League East,Oriole Park at Camden Yards,103,201
111,Boston Red Sox,BOS,Boston,,American League East,Fenway Park,103,201
112,Chicago Cubs,CHC,Chi Cubs,,National League Central,Wrigley Field,104,205
113,Cincinnati Reds,CIN,Cincinnati,,National League Central,Great American Ball Park,104,205
114,Cleveland Guardians,CLE,Cleveland,,American League Central,Progressive Field,103,202
115,Colorado Rockies,COL,Colorado,,National League West,Coors Field,104,203
116,Detroit Tigers,DET,Detroit,,American League Central,Comerica Park,103,202
117,Houston Astros,HOU,Houston,,American League West,Daikin Park,103,200
118,Kansas City Royals,KC,Kansas City,,American League Central,Kauffman Stadium,103,202
119,Los Angeles Dodgers,LAD,LA Dodgers,,National League West,UNIQLO Field at Dodger Stadium,104,203
120,Washington Nationals,WSH,Washington,,National League East,Nationals Park,104,204
121,New York Mets,NYM,NY Mets,,National League East,Citi Field,104,204
