team,team_code,team_id,league,division,wins,losses,win_pct,gb,wild_card_gb,last_10,streak,runs_scored,runs_allowed,run_diff
Yankees,,147,,,99,63,.611,-,-,,L2,807,567,240
Blue Jays,,141,,,92,70,.568,7.0,+6.0,,W1,775,679,96
Rays,,139,,,86,76,.531,13.0,-,,L5,666,614,52
Orioles,,110,,,83,79,.512,16.0,3.0,,L1,674,688,-14
Red Sox,,111,,,78,84,.481,21.0,8.0,,W3,735,787,-52
Guardians,,114,,,92,70,.568,-,-,,W2,698,634,64
White Sox,,145,,,81,81,.500,11.0,5.0,,L1,686,717,-31
Twins,,142,,,78,84,.481,14.0,8.0,,W1,696,684,12
Tigers,,116,,,66,96,.407,26.0,20.0,,L3,557,713,-156
Royals,,118,,,65,97,.401,27.0,21.0,,L2,640,810,-170
Astros,,117,,,106,56,.654,-,-,,W2,737,518,219
Mariners,,136,,,90,72,.556,16.0,+4.0,,W3,690,623,67
Angels,,108,,,73,89,.451,33.0,13.0,,L3,623,668,-45
Rangers,,140,,,68,94,.420,38.0,18.0,,W2,707,743,-36
Athletics,,133,,,60,102,.370,46.0,26.0,,W4,568,770,-202
Braves,,144,,,101,61,.623,-,-,,L1,789,609,180
Mets,,121,,,101,61,.623,-,+14.0,,W3,772,606,166
Phillies,,143,,,87,75,.537,14.0,-,,L2,747,685,62
Marlins,,146,,,69,93,.426,32.0,18.0,,W1,586,676,-90
Nationals,,120,,,55,107,.340,46.0,32.0,,L5,603,855,-252
Cardinals,,138,,,93,69,.574,-,-,,L1,772,637,135
Brewers,,158,,,86,76,.531,7.0,1.0,,L1,725,688,37
Cubs,,112,,,74,88,.457,19.0,13.0,,W1,657,731,-74
Pirates,,134,,,62,100,.383,31.0,25.0,,W1,591,817,-226
Reds,,113,,,62,100,.383,31.0,25.0,,L1,648,815,-167
Dodgers,,119,,,111,51,.685,-,-,,W1,847,513,334
Padres,,135,,,89,73,.549,22.0,+2.0,,L1,705,660,45
Giants,,137,,,81,81,.500,30.0,6.0,,W1,716,697,19
D-backs,,109,,,74,88,.457,37.0,13.0,,W1,702,740,-38
Rockies,,115,,,68,94,.420,43.0,19.0,,L1,698,873,-175
